,id,listing_url,host_id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,number_of_reviews,review_scores_rating,price_range,Commune nom
56295,935251223132040607,https://www.airbnb.com/rooms/935251223132040607,78057865,100,f,Buttes-Montmartre,48.88687,2.33445,Entire home/apt,4,1.0,1.0,2.0,186.0,2,365,t,1,5.0,Fair,Paris 18ème
56324,935326899172130293,https://www.airbnb.com/rooms/935326899172130293,171331907,100,t,Bourse,48.865215,2.350269,Entire home/apt,2,1.0,1.0,1.0,186.0,2,20,t,18,5.0,Fair,Paris 2ème
56359,933997277920844075,https://www.airbnb.com/rooms/933997277920844075,58704482,100,f,Batignolles-Monceau,48.89403118566224,2.32661548625965,Entire home/apt,4,1.0,2.0,2.0,1000.0,1,365,t,1,5.0,Luxury,Paris 17ème
56369,935220951248013161,https://www.airbnb.com/rooms/935220951248013161,14838169,100,f,Buttes-Chaumont,48.8842282,2.3765534,Entire home/apt,2,1.0,1.0,1.0,101.0,3,1125,t,2,5.0,Fair,Paris 19ème
56404,936173125892049064,https://www.airbnb.com/rooms/936173125892049064,69729760,100,f,Panthéon,48.84355,2.35329,Entire home/apt,2,1.0,1.0,1.0,160.0,2,20,t,1,5.0,Fair,Paris 5ème
56405,936186396035890143,https://www.airbnb.com/rooms/936186396035890143,9789479,100,t,Entrepôt,48.87381237399859,2.3491856083273888,Entire home/apt,4,2.5,2.0,2.0,320.0,3,60,t,21,5.0,Premium,Paris 10ème
56433,937539114535627979,https://www.airbnb.com/rooms/937539114535627979,526244698,100,t,Panthéon,48.83968,2.35076,Entire home/apt,2,1.0,1.0,1.0,67.0,30,300,t,6,5.0,Low-cost,Paris 5ème
56458,935568900145851332,https://www.airbnb.com/rooms/935568900145851332,259339691,100,f,Entrepôt,48.8734070576185,2.3534792228938124,Entire home/apt,2,1.0,1.0,1.0,178.0,1,1125,t,9,5.0,Fair,Paris 10ème
56478,936777306114367985,https://www.airbnb.com/rooms/936777306114367985,22424477,100,f,Palais-Bourbon,48.854496812250645,2.3200199380517006,Entire home/apt,3,2.0,2.0,1.0,950.0,2,21,t,2,5.0,Luxury,Paris 7ème
56482,936801542908854003,https://www.airbnb.com/rooms/936801542908854003,54445069,100,f,Opéra,48.87905989999999,2.3429477,Entire home/apt,2,1.0,1.0,2.0,160.0,2,365,t,3,5.0,Fair,Paris 9ème
56487,935926630328707293,https://www.airbnb.com/rooms/935926630328707293,17005486,100,t,Opéra,48.88201738128864,2.332865037024021,Entire home/apt,4,1.0,1.0,1.0,118.0,30,240,t,1,5.0,Fair,Paris 9ème
56491,935949970018504369,https://www.airbnb.com/rooms/935949970018504369,333679273,100,t,Reuilly,48.83779,2.4047,Entire home/apt,4,1.0,1.0,2.0,125.0,3,120,t,9,5.0,Fair,Paris 12ème
56496,936025720889762594,https://www.airbnb.com/rooms/936025720889762594,525133016,100,f,Popincourt,48.8680803,2.3738958,Entire home/apt,4,1.0,1.0,2.0,120.0,2,1125,t,3,5.0,Fair,Paris 11ème
