,id,listing_url,host_id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,number_of_reviews,review_scores_rating,price_range,Commune nom
91,139074,https://www.airbnb.com/rooms/139074,4450132,100,f,Passy,48.87173,2.29071,Entire home/apt,2,1.0,1.0,1.0,115.0,60,365,t,15,5.0,Fair,Paris 16ème
164,55239,https://www.airbnb.com/rooms/55239,260696,100,f,Élysée,48.8726,2.31477,Entire home/apt,4,2.0,1.0,1.0,607.0,1,21,t,22,5.0,Luxury,Paris 8ème
245,310103,https://www.airbnb.com/rooms/310103,1317183,100,f,Buttes-Chaumont,48.87373,2.37575,Entire home/apt,6,2.0,3.0,3.0,390.0,7,31,t,2,5.0,Premium,Paris 19ème
251,314903,https://www.airbnb.com/rooms/314903,1617534,100,f,Popincourt,48.85294,2.37536,Entire home/apt,3,1.0,1.0,1.0,220.0,6,90,t,43,5.0,Fair,Paris 11ème
352,513387,https://www.airbnb.com/rooms/513387,2528877,100,f,Panthéon,48.85176,2.34944,Entire home/apt,6,2.5,2.0,4.0,836.0,4,60,t,34,5.0,Luxury,Paris 5ème
415,458673,https://www.airbnb.com/rooms/458673,2280781,100,f,Passy,48.84609,2.26211,Entire home/apt,4,1.0,0.0,2.0,150.0,3,60,t,1,5.0,Fair,Paris 16ème
584,699404,https://www.airbnb.com/rooms/699404,3583221,100,f,Buttes-Montmartre,48.89176,2.3591,Entire home/apt,2,1.0,1.0,2.0,80.0,2,120,t,3,5.0,Low-cost,Paris 18ème
709,731574,https://www.airbnb.com/rooms/731574,3017944,100,f,Bourse,48.86780548095703,2.348078966140747,Entire home/apt,2,1.0,1.0,1.0,265.0,3,60,t,10,5.0,Premium,Paris 2ème
745,741956,https://www.airbnb.com/rooms/741956,3801904,100,f,Buttes-Chaumont,48.87995189262799,2.391772784379834,Entire home/apt,2,1.0,1.0,3.0,110.0,5,20,t,6,5.0,Fair,Paris 19ème
1004,877645,https://www.airbnb.com/rooms/877645,4637760,100,f,Popincourt,48.86112,2.37427,Entire home/apt,5,2.0,3.0,3.0,360.0,7,30,t,81,5.0,Premium,Paris 11ème
1145,1035222,https://www.airbnb.com/rooms/1035222,7131487,100,t,Buttes-Montmartre,48.88834,2.34563,Entire home/apt,2,1.0,1.0,1.0,130.0,2,365,t,3,5.0,Fair,Paris 18ème
1168,1041094,https://www.airbnb.com/rooms/1041094,3946195,100,f,Panthéon,48.8443315291398,2.35524090035853,Entire home/apt,4,1.0,2.0,4.0,200.0,5,22,t,2,5.0,Fair,Paris 5ème
1496,1380311,https://www.airbnb.com/rooms/1380311,7475220,100,f,Buttes-Chaumont,48.87682,2.39805,Entire home/apt,2,1.0,1.0,1.0,146.0,4,8,t,11,5.0,Fair,Paris 19ème
1518,1222997,https://www.airbnb.com/rooms/1222997,6671281,100,f,Opéra,48.87741,2.3441,Entire home/apt,9,2.0,4.0,4.0,260.0,4,21,t,14,5.0,Premium,Paris 9ème
1661,1541394,https://www.airbnb.com/rooms/1541394,8216186,100,t,Palais-Bourbon,48.85717,2.30814,Entire home/apt,4,1.0,2.0,3.0,450.0,2,7,t,37,5.0,Premium,Paris 7ème
1695,1448260,https://www.airbnb.com/rooms/1448260,7671558,100,f,Élysée,48.88122647195682,2.318588289927572,Entire home/apt,2,1.0,1.0,1.0,115.0,2,365,t,2,5.0,Fair,Paris 8ème
1712,1560263,https://www.airbnb.com/rooms/1560263,8303260,100,f,Buttes-Montmartre,48.89369,2.33516,Entire home/apt,2,1.0,1.0,1.0,329.0,3,15,t,2,5.0,Premium,Paris 18ème
1928,1901080,https://www.airbnb.com/rooms/1901080,9632439,100,f,Buttes-Chaumont,48.87623700713837,2.400181509421948,Private room,2,1.0,1.0,1.0,109.0,2,1125,t,2,5.0,Fair,Paris 19ème
1951,2065057,https://www.airbnb.com/rooms/2065057,2282232,100,f,Popincourt,48.864498,2.375177,Entire home/apt,3,1.0,1.0,1.0,390.0,2,1125,t,33,5.0,Premium,Paris 11ème
2131,2037551,https://www.airbnb.com/rooms/2037551,10453868,100,f,Batignolles-Monceau,48.88401,2.31633,Entire home/apt,2,1.0,1.0,1.0,100.0,4,30,t,1,5.0,Fair,Paris 17ème
2163,2260021,https://www.airbnb.com/rooms/2260021,11540860,100,f,Buttes-Montmartre,48.88814,2.33664,Entire home/apt,2,1.5,1.0,1.0,420.0,1,1125,t,1,5.0,Premium,Paris 18ème
2195,2277264,https://www.airbnb.com/rooms/2277264,9569301,100,f,Gobelins,48.83482,2.37035,Entire home/apt,6,1.0,3.0,3.0,250.0,6,1125,t,11,5.0,Premium,Paris 13ème
2223,2314622,https://www.airbnb.com/rooms/2314622,2838976,100,f,Entrepôt,48.88098,2.36422,Entire home/apt,2,1.0,1.0,1.0,249.0,3,1125,t,21,5.0,Fair,Paris 10ème
2297,2402498,https://www.airbnb.com/rooms/2402498,7854287,100,f,Hôtel-de-Ville,48.85987,2.35425,Entire home/apt,2,1.0,1.0,4.0,240.0,2,20,t,3,5.0,Fair,Paris 4ème
2392,2535230,https://www.airbnb.com/rooms/2535230,12982798,100,f,Passy,48.864576902350514,2.290326765777108,Entire home/apt,4,2.0,2.0,2.0,350.0,7,120,t,2,5.0,Premium,Paris 16ème
2440,2558913,https://www.airbnb.com/rooms/2558913,3743247,100,f,Entrepôt,48.87173,2.35829,Entire home/apt,4,1.0,1.0,2.0,134.0,4,90,t,16,5.0,Fair,Paris 10ème
2506,2727929,https://www.airbnb.com/rooms/2727929,13960346,100,f,Buttes-Montmartre,48.89491700845768,2.3361312007857977,Entire home/apt,3,1.0,2.0,2.0,200.0,2,365,t,6,5.0,Fair,Paris 18ème
2856,3191423,https://www.airbnb.com/rooms/3191423,15316077,100,f,Entrepôt,48.87509,2.352,Entire home/apt,6,2.5,3.0,3.0,395.0,5,21,t,12,5.0,Premium,Paris 10ème
2998,3237092,https://www.airbnb.com/rooms/3237092,7415871,100,f,Observatoire,48.83224,2.31907,Entire home/apt,2,1.0,1.0,1.0,191.0,365,1125,t,1,5.0,Fair,Paris 14ème
3034,3251915,https://www.airbnb.com/rooms/3251915,16449519,100,f,Buttes-Chaumont,48.88216781616211,2.3809010982513428,Entire home/apt,4,1.0,2.0,3.0,150.0,3,30,t,4,5.0,Fair,Paris 19ème
3052,3385662,https://www.airbnb.com/rooms/3385662,7382021,100,t,Élysée,48.87265,2.3149,Private room,1,1.0,1.0,1.0,184.0,2,730,t,54,5.0,Fair,Paris 8ème
3226,3423810,https://www.airbnb.com/rooms/3423810,17190320,100,f,Palais-Bourbon,48.86078,2.32327,Entire home/apt,4,2.5,2.0,2.0,500.0,3,1125,t,1,5.0,Luxury,Paris 7ème
3334,3599174,https://www.airbnb.com/rooms/3599174,18133682,100,f,Passy,48.84746,2.27224,Entire home/apt,2,1.0,0.0,1.0,60.0,365,400,t,1,5.0,Low-cost,Paris 16ème
3338,3601816,https://www.airbnb.com/rooms/3601816,10048305,100,f,Ménilmontant,48.85004,2.40287,Entire home/apt,6,3.5,3.0,3.0,250.0,1,1125,t,3,5.0,Premium,Paris 20ème
3342,3537502,https://www.airbnb.com/rooms/3537502,17720514,100,f,Hôtel-de-Ville,48.85564,2.35123,Entire home/apt,2,1.0,1.0,2.0,70.0,365,1125,t,3,5.0,Low-cost,Paris 4ème
3402,3639185,https://www.airbnb.com/rooms/3639185,9086657,100,f,Bourse,48.86533790000001,2.3494195,Entire home/apt,4,1.0,2.0,2.0,450.0,3,365,t,2,5.0,Premium,Paris 2ème
3416,3547634,https://www.airbnb.com/rooms/3547634,9696002,100,f,Buttes-Montmartre,48.88874,2.3424,Entire home/apt,2,1.0,1.0,1.0,90.0,3,730,t,1,5.0,Low-cost,Paris 18ème
3528,3751006,https://www.airbnb.com/rooms/3751006,18100606,100,f,Buttes-Montmartre,48.89855,2.33849,Entire home/apt,4,1.5,3.0,3.0,205.0,5,29,t,11,5.0,Fair,Paris 18ème
3562,3773456,https://www.airbnb.com/rooms/3773456,19343254,100,f,Bourse,48.86471,2.34937,Entire home/apt,4,1.0,1.0,2.0,1359.0,2,1125,t,35,5.0,Luxury,Paris 2ème
3589,3785081,https://www.airbnb.com/rooms/3785081,3689006,100,f,Opéra,48.8776242,2.3474798,Entire home/apt,4,1.0,1.0,1.0,400.0,4,365,t,2,5.0,Premium,Paris 9ème
3660,3815829,https://www.airbnb.com/rooms/3815829,7865034,100,f,Vaugirard,48.84588,2.30378,Private room,2,1.0,1.0,1.0,190.0,2,1125,t,3,5.0,Fair,Paris 15ème
3701,4089383,https://www.airbnb.com/rooms/4089383,13685526,100,f,Temple,48.86865949521677,2.355715110898018,Entire home/apt,2,1.0,1.0,1.0,100.0,4,60,t,3,5.0,Fair,Paris 3ème
3953,4358124,https://www.airbnb.com/rooms/4358124,21504102,100,f,Ménilmontant,48.87004,2.393,Entire home/apt,4,1.0,2.0,2.0,264.0,3,1125,t,1,5.0,Premium,Paris 20ème
3957,4310947,https://www.airbnb.com/rooms/4310947,22377285,100,f,Passy,48.8475,2.26098,Entire home/apt,6,1.0,3.0,5.0,250.0,2,20,t,4,5.0,Premium,Paris 16ème
4061,4399870,https://www.airbnb.com/rooms/4399870,22840676,100,f,Vaugirard,48.85275,2.29174,Entire home/apt,2,1.0,1.0,2.0,183.0,4,7,t,26,5.0,Fair,Paris 15ème
4241,4674546,https://www.airbnb.com/rooms/4674546,24185499,100,t,Vaugirard,48.84659019558162,2.2954765601446296,Entire home/apt,4,1.0,2.0,3.0,380.0,3,120,t,39,5.0,Premium,Paris 15ème
4280,4744282,https://www.airbnb.com/rooms/4744282,2175748,100,f,Buttes-Montmartre,48.886192321777344,2.336793899536133,Entire home/apt,2,1.0,1.0,2.0,159.0,30,1125,t,8,5.0,Fair,Paris 18ème
4290,4828170,https://www.airbnb.com/rooms/4828170,7608379,100,f,Palais-Bourbon,48.8576,2.2967,Entire home/apt,6,2.0,3.0,5.0,894.0,2,1125,t,6,5.0,Luxury,Paris 7ème
4468,4785036,https://www.airbnb.com/rooms/4785036,19449404,100,f,Ménilmontant,48.85661349999999,2.3955628,Entire home/apt,4,1.0,1.0,3.0,171.0,2,365,t,1,5.0,Fair,Paris 20ème
4848,5314859,https://www.airbnb.com/rooms/5314859,27531386,100,f,Buttes-Montmartre,48.8842,2.34306,Private room,2,1.0,1.0,1.0,480.0,2,1125,t,3,5.0,Premium,Paris 18ème
4891,5601789,https://www.airbnb.com/rooms/5601789,14157996,100,f,Palais-Bourbon,48.85447427428981,2.3096405039901047,Entire home/apt,2,1.0,1.0,1.0,100.0,30,60,t,1,5.0,Fair,Paris 7ème
4896,5529721,https://www.airbnb.com/rooms/5529721,27521270,100,f,Popincourt,48.85846,2.37854,Entire home/apt,2,1.0,1.0,1.0,150.0,3,120,t,19,5.0,Fair,Paris 11ème
4904,5613146,https://www.airbnb.com/rooms/5613146,29094668,100,t,Popincourt,48.8614573,2.3801544,Entire home/apt,2,1.0,0.0,1.0,129.0,2,30,t,20,5.0,Fair,Paris 11ème
4950,5635103,https://www.airbnb.com/rooms/5635103,10011374,100,f,Ménilmontant,48.86675,2.39856,Entire home/apt,6,1.0,3.0,3.0,300.0,4,1125,t,5,5.0,Premium,Paris 20ème
5126,5880999,https://www.airbnb.com/rooms/5880999,2930849,100,f,Ménilmontant,48.86542,2.40799,Entire home/apt,10,2.0,5.0,7.0,500.0,3,20,t,15,5.0,Luxury,Paris 20ème
5247,5940508,https://www.airbnb.com/rooms/5940508,12793021,100,f,Batignolles-Monceau,48.87886,2.29947,Entire home/apt,6,1.0,2.0,8.0,775.0,3,1125,t,10,5.0,Luxury,Paris 17ème
5289,6159275,https://www.airbnb.com/rooms/6159275,31953732,100,f,Batignolles-Monceau,48.8850743,2.3070063,Entire home/apt,4,1.0,1.0,1.0,168.0,2,30,t,3,5.0,Fair,Paris 17ème
5417,6123976,https://www.airbnb.com/rooms/6123976,31774281,100,f,Buttes-Chaumont,48.87625,2.38496,Entire home/apt,2,1.0,1.0,1.0,160.0,6,30,t,3,5.0,Fair,Paris 19ème
5477,6149345,https://www.airbnb.com/rooms/6149345,31899814,100,t,Opéra,48.87796,2.33342,Private room,3,1.0,1.0,2.0,177.0,2,14,t,73,5.0,Fair,Paris 9ème
5602,6294207,https://www.airbnb.com/rooms/6294207,32729907,100,f,Popincourt,48.86135,2.37988,Entire home/apt,5,1.0,2.0,2.0,236.0,2,120,t,1,5.0,Fair,Paris 11ème
5788,6579498,https://www.airbnb.com/rooms/6579498,24432228,100,f,Popincourt,48.85642,2.37415,Entire home/apt,2,1.5,2.0,2.0,170.0,7,1125,t,15,5.0,Fair,Paris 11ème
5835,6509277,https://www.airbnb.com/rooms/6509277,34030548,100,t,Passy,48.8646,2.27404,Entire home/apt,3,1.5,1.0,1.0,860.0,3,1125,t,22,5.0,Luxury,Paris 16ème
6015,6555642,https://www.airbnb.com/rooms/6555642,6568400,100,f,Batignolles-Monceau,48.88578264443921,2.3100128423278665,Entire home/apt,2,1.0,1.0,1.0,180.0,2,365,t,1,5.0,Fair,Paris 17ème
6039,6754229,https://www.airbnb.com/rooms/6754229,35363684,100,f,Observatoire,48.83304,2.3247,Private room,1,1.0,1.0,1.0,45.0,3,6,t,3,5.0,Low-cost,Paris 14ème
6168,6781344,https://www.airbnb.com/rooms/6781344,35500270,100,f,Reuilly,48.83501,2.46712,Private room,2,1.0,2.0,2.0,314.0,1,1125,t,10,5.0,Premium,Paris 12ème
6373,7000773,https://www.airbnb.com/rooms/7000773,12688575,100,f,Passy,48.85738,2.28031,Entire home/apt,4,1.0,2.0,3.0,350.0,5,30,t,16,5.0,Premium,Paris 16ème
7076,7380408,https://www.airbnb.com/rooms/7380408,11230645,100,f,Buttes-Montmartre,48.886211,2.347552,Entire home/apt,6,2.0,3.0,3.0,300.0,2,1125,t,27,5.0,Premium,Paris 18ème
7346,7659794,https://www.airbnb.com/rooms/7659794,37645348,100,f,Palais-Bourbon,48.85955257504715,2.2958531249090046,Entire home/apt,4,1.0,2.0,2.0,704.0,3,21,t,1,5.0,Luxury,Paris 7ème
7526,7626195,https://www.airbnb.com/rooms/7626195,8365881,100,f,Vaugirard,48.83849,2.29748,Entire home/apt,4,1.5,1.0,2.0,200.0,2,28,t,20,5.0,Fair,Paris 15ème
7581,7836380,https://www.airbnb.com/rooms/7836380,41035154,100,f,Buttes-Montmartre,48.89120065732309,2.337454347872751,Entire home/apt,2,1.5,1.0,1.0,130.0,1,1125,t,6,5.0,Fair,Paris 18ème
7792,8155615,https://www.airbnb.com/rooms/8155615,43055420,100,f,Popincourt,48.85322994125384,2.3820816546337147,Entire home/apt,4,1.0,1.0,1.0,150.0,2,60,t,2,5.0,Fair,Paris 11ème
7796,8252323,https://www.airbnb.com/rooms/8252323,43518307,100,f,Popincourt,48.85207,2.37901,Entire home/apt,6,1.0,2.0,2.0,270.0,10,45,t,1,5.0,Premium,Paris 11ème
7860,8364996,https://www.airbnb.com/rooms/8364996,43918847,100,f,Buttes-Chaumont,48.87959,2.37645,Entire home/apt,2,1.0,1.0,1.0,164.0,7,43,t,6,5.0,Fair,Paris 19ème
7874,8368790,https://www.airbnb.com/rooms/8368790,11036260,100,f,Luxembourg,48.85026168823242,2.3378639221191406,Entire home/apt,7,1.0,3.0,5.0,700.0,3,120,t,4,5.0,Luxury,Paris 6ème
7876,8370013,https://www.airbnb.com/rooms/8370013,44114314,100,f,Louvre,48.86275523250902,2.3394572539673053,Entire home/apt,2,1.0,1.0,0.0,95.0,4,365,t,3,5.0,Low-cost,Paris 1er
7915,8394748,https://www.airbnb.com/rooms/8394748,4193371,100,f,Vaugirard,48.84651,2.30399,Entire home/apt,4,2.0,2.0,2.0,350.0,3,30,t,22,5.0,Premium,Paris 15ème
7946,8520443,https://www.airbnb.com/rooms/8520443,44862458,100,t,Vaugirard,48.8427,2.28234,Entire home/apt,6,2.0,3.0,3.0,664.0,5,1125,t,11,5.0,Luxury,Paris 15ème
8114,8920630,https://www.airbnb.com/rooms/8920630,19055289,100,f,Observatoire,48.82701,2.33139,Entire home/apt,4,1.0,3.0,2.0,200.0,3,30,t,1,5.0,Fair,Paris 14ème
8404,9093083,https://www.airbnb.com/rooms/9093083,45748309,100,f,Buttes-Montmartre,48.88803,2.32733,Entire home/apt,7,2.0,3.0,7.0,280.0,4,730,t,10,5.0,Premium,Paris 18ème
8499,9255964,https://www.airbnb.com/rooms/9255964,48087431,100,f,Popincourt,48.86283269936064,2.379773184657097,Entire home/apt,2,1.0,0.0,1.0,100.0,3,30,t,2,5.0,Fair,Paris 11ème
8653,9419259,https://www.airbnb.com/rooms/9419259,48836442,99,t,Panthéon,48.84544,2.34905,Entire home/apt,6,1.5,2.0,3.0,715.0,1,365,t,60,5.0,Luxury,Paris 5ème
8730,9473046,https://www.airbnb.com/rooms/9473046,49095564,100,f,Vaugirard,48.8422225,2.3036036,Entire home/apt,2,1.0,0.0,1.0,120.0,2,30,t,4,5.0,Fair,Paris 15ème
8784,9647866,https://www.airbnb.com/rooms/9647866,49881596,100,f,Opéra,48.88282,2.33254,Entire home/apt,4,1.0,2.0,2.0,350.0,5,1125,t,11,5.0,Premium,Paris 9ème
8834,9660740,https://www.airbnb.com/rooms/9660740,49928902,100,f,Palais-Bourbon,48.85737,2.30634,Entire home/apt,2,1.0,0.0,1.0,134.0,2,365,t,1,5.0,Fair,Paris 7ème
8886,9786095,https://www.airbnb.com/rooms/9786095,14463987,100,f,Bourse,48.867637634277344,2.3354299068450928,Entire home/apt,4,1.0,2.0,3.0,350.0,4,30,t,1,5.0,Premium,Paris 2ème
8933,9709160,https://www.airbnb.com/rooms/9709160,50127616,100,t,Louvre,48.8643,2.34351,Private room,1,1.0,1.0,1.0,92.0,14,365,t,6,5.0,Low-cost,Paris 1er
9001,9890356,https://www.airbnb.com/rooms/9890356,49783242,100,f,Buttes-Montmartre,48.88456,2.345,Entire home/apt,6,1.5,3.0,5.0,300.0,4,1125,t,24,5.0,Premium,Paris 18ème
9226,10378706,https://www.airbnb.com/rooms/10378706,4287076,100,f,Luxembourg,48.84596,2.32335,Private room,1,2.0,1.0,1.0,120.0,14,120,t,1,5.0,Fair,Paris 6ème
9309,10452233,https://www.airbnb.com/rooms/10452233,8698708,100,t,Buttes-Montmartre,48.887211,2.335091,Entire home/apt,3,1.0,1.0,2.0,131.0,3,60,t,40,5.0,Fair,Paris 18ème
9644,10950555,https://www.airbnb.com/rooms/10950555,17353001,100,f,Buttes-Montmartre,48.8849752,2.3599012,Entire home/apt,5,2.0,2.0,4.0,180.0,2,16,t,2,5.0,Fair,Paris 18ème
9681,10962942,https://www.airbnb.com/rooms/10962942,56841481,100,f,Buttes-Montmartre,48.88526916503906,2.333843946456909,Entire home/apt,2,1.0,1.0,1.0,220.0,3,15,t,8,5.0,Fair,Paris 18ème
9688,11316744,https://www.airbnb.com/rooms/11316744,52100804,100,f,Passy,48.86325,2.28349,Entire home/apt,4,1.5,2.0,3.0,350.0,4,60,t,1,5.0,Premium,Paris 16ème
9720,11340786,https://www.airbnb.com/rooms/11340786,43707765,100,f,Batignolles-Monceau,48.88708753458296,2.321244234061493,Entire home/apt,2,1.0,1.0,1.0,85.0,1,5,t,1,5.0,Low-cost,Paris 17ème
9867,11408801,https://www.airbnb.com/rooms/11408801,1322370,100,f,Opéra,48.87224,2.34184,Entire home/apt,4,1.5,1.0,2.0,189.0,30,1125,t,2,5.0,Fair,Paris 9ème
10057,11772265,https://www.airbnb.com/rooms/11772265,62658585,100,f,Ménilmontant,48.85552,2.40243,Entire home/apt,3,1.0,1.0,1.0,95.0,3,40,t,3,5.0,Low-cost,Paris 20ème
10114,11795689,https://www.airbnb.com/rooms/11795689,12822358,100,t,Popincourt,48.86465,2.36603,Entire home/apt,2,1.0,1.0,1.0,170.0,4,1125,t,18,5.0,Fair,Paris 11ème
10250,11915617,https://www.airbnb.com/rooms/11915617,19425431,100,f,Popincourt,48.86232,2.37063,Entire home/apt,5,2.0,4.0,4.0,410.0,6,1125,t,13,5.0,Premium,Paris 11ème
10306,11944907,https://www.airbnb.com/rooms/11944907,1092406,100,f,Entrepôt,48.87908992945498,2.350045718228273,Entire home/apt,2,1.0,1.0,1.0,141.0,2,14,t,1,5.0,Fair,Paris 10ème
10339,12067145,https://www.airbnb.com/rooms/12067145,129215,100,f,Ménilmontant,48.85468895444288,2.3962315544486046,Entire home/apt,5,1.0,2.0,3.0,185.0,3,365,t,3,5.0,Fair,Paris 20ème
10356,12145788,https://www.airbnb.com/rooms/12145788,65207858,100,f,Observatoire,48.839897,2.3351181,Entire home/apt,8,2.0,4.0,5.0,450.0,2,45,t,1,5.0,Premium,Paris 14ème
10381,12154114,https://www.airbnb.com/rooms/12154114,8781658,100,f,Panthéon,48.84353,2.3625,Entire home/apt,2,1.0,1.0,1.0,200.0,3,150,t,14,5.0,Fair,Paris 5ème
10463,12416892,https://www.airbnb.com/rooms/12416892,57894858,100,f,Passy,48.84278,2.26521,Entire home/apt,4,1.0,1.0,2.0,343.0,2,1125,t,8,5.0,Premium,Paris 16ème
10575,12258654,https://www.airbnb.com/rooms/12258654,65850308,100,f,Palais-Bourbon,48.85965,2.32683,Entire home/apt,4,1.0,1.0,2.0,185.0,30,45,t,2,5.0,Fair,Paris 7ème
10843,12802007,https://www.airbnb.com/rooms/12802007,13824614,100,t,Entrepôt,48.869831,2.3570981,Entire home/apt,8,1.0,4.0,3.0,428.0,3,120,t,21,5.0,Premium,Paris 10ème
11047,12922666,https://www.airbnb.com/rooms/12922666,37584178,100,t,Buttes-Chaumont,48.8868659,2.3856238,Entire home/apt,2,1.0,1.0,1.0,164.0,1,40,t,10,5.0,Fair,Paris 19ème
11214,13119274,https://www.airbnb.com/rooms/13119274,4003894,100,f,Buttes-Montmartre,48.8843,2.34719,Entire home/apt,6,2.0,3.0,4.0,500.0,7,1125,t,1,5.0,Luxury,Paris 18ème
11276,13232358,https://www.airbnb.com/rooms/13232358,3980291,100,t,Passy,48.86616,2.28357,Hotel room,2,1.0,1.0,2.0,250.0,2,1125,t,8,5.0,Premium,Paris 16ème
11437,13370736,https://www.airbnb.com/rooms/13370736,75923778,100,f,Observatoire,48.83211,2.31945,Entire home/apt,6,2.0,3.0,3.0,390.0,2,15,t,9,5.0,Premium,Paris 14ème
11499,13325763,https://www.airbnb.com/rooms/13325763,24190335,100,f,Entrepôt,48.869881722674464,2.356024906039238,Entire home/apt,2,1.0,1.0,1.0,500.0,7,20,t,1,5.0,Luxury,Paris 10ème
11719,13594590,https://www.airbnb.com/rooms/13594590,78570381,100,f,Palais-Bourbon,48.8569,2.33025,Entire home/apt,4,2.5,3.0,3.0,1300.0,4,21,t,5,5.0,Luxury,Paris 7ème
11905,13707607,https://www.airbnb.com/rooms/13707607,80012791,100,f,Temple,48.86642,2.35731,Entire home/apt,2,1.0,0.0,1.0,90.0,3,308,t,8,5.0,Low-cost,Paris 3ème
12031,13818061,https://www.airbnb.com/rooms/13818061,1921712,100,f,Buttes-Chaumont,48.88974,2.38054,Entire home/apt,4,1.0,1.0,1.0,127.0,2,20,t,13,5.0,Fair,Paris 19ème
12047,13819267,https://www.airbnb.com/rooms/13819267,12204137,100,f,Observatoire,48.82807,2.31528,Entire home/apt,3,1.0,1.0,2.0,150.0,3,1125,t,14,5.0,Fair,Paris 14ème
12136,13783800,https://www.airbnb.com/rooms/13783800,44811634,100,f,Popincourt,48.85498,2.39189,Entire home/apt,5,2.0,3.0,3.0,200.0,5,31,t,15,5.0,Fair,Paris 11ème
12357,14037877,https://www.airbnb.com/rooms/14037877,43289387,100,f,Batignolles-Monceau,48.8802,2.29055,Entire home/apt,3,1.0,1.0,2.0,118.0,4,120,t,4,5.0,Fair,Paris 17ème
12445,14157238,https://www.airbnb.com/rooms/14157238,16564577,100,f,Vaugirard,48.85351973060797,2.296432530633959,Entire home/apt,4,1.0,2.0,3.0,1200.0,3,730,t,1,5.0,Luxury,Paris 15ème
12456,14065739,https://www.airbnb.com/rooms/14065739,84452033,100,f,Palais-Bourbon,48.85944,2.32095,Entire home/apt,6,2.0,3.0,6.0,840.0,7,1125,t,3,5.0,Luxury,Paris 7ème
12730,14779597,https://www.airbnb.com/rooms/14779597,46206530,100,f,Opéra,48.8834966,2.3320701,Entire home/apt,5,1.0,2.0,3.0,250.0,3,365,t,1,5.0,Premium,Paris 9ème
12875,15205629,https://www.airbnb.com/rooms/15205629,45761679,100,f,Vaugirard,48.83685,2.30209,Entire home/apt,4,1.0,1.0,1.0,123.0,2,365,t,7,5.0,Fair,Paris 15ème
12909,14993078,https://www.airbnb.com/rooms/14993078,43096459,100,t,Luxembourg,48.85544,2.33816,Entire home/apt,4,2.5,2.0,2.0,1286.0,3,21,t,122,5.0,Luxury,Paris 6ème
12930,15079171,https://www.airbnb.com/rooms/15079171,27848093,100,f,Palais-Bourbon,48.85521,2.30326,Entire home/apt,4,1.0,1.0,1.0,550.0,10,1125,t,11,5.0,Luxury,Paris 7ème
12970,15249650,https://www.airbnb.com/rooms/15249650,15305068,100,f,Passy,48.85205644394839,2.274406456941246,Entire home/apt,4,1.0,2.0,2.0,640.0,3,15,t,1,5.0,Luxury,Paris 16ème
13014,15130512,https://www.airbnb.com/rooms/15130512,95560812,100,f,Reuilly,48.85084,2.3764,Entire home/apt,2,1.5,1.0,1.0,215.0,7,30,t,3,5.0,Fair,Paris 12ème
13042,15281334,https://www.airbnb.com/rooms/15281334,97247693,100,f,Élysée,48.8699968,2.3107555,Entire home/apt,4,1.0,1.0,2.0,257.0,30,365,t,1,5.0,Premium,Paris 8ème
13424,16155395,https://www.airbnb.com/rooms/16155395,2510995,100,f,Ménilmontant,48.87224,2.39603,Entire home/apt,5,2.5,3.0,4.0,400.0,1,600,t,48,5.0,Premium,Paris 20ème
13655,16552857,https://www.airbnb.com/rooms/16552857,71335135,100,t,Bourse,48.86607138567083,2.348720245063305,Entire home/apt,6,2.0,3.0,3.0,500.0,2,365,t,17,5.0,Luxury,Paris 2ème
13761,16751892,https://www.airbnb.com/rooms/16751892,40682614,100,t,Luxembourg,48.85202,2.34178,Entire home/apt,8,3.0,4.0,4.0,2050.0,4,365,t,25,5.0,Luxury,Paris 6ème
13817,16640153,https://www.airbnb.com/rooms/16640153,57008224,100,f,Vaugirard,48.84465379805024,2.292310097952344,Entire home/apt,2,1.0,1.0,1.0,110.0,2,10,t,4,5.0,Fair,Paris 15ème
13994,17383338,https://www.airbnb.com/rooms/17383338,117297906,100,f,Buttes-Montmartre,48.88569,2.33669,Hotel room,2,1.0,1.0,1.0,500.0,1,4,t,2,5.0,Luxury,Paris 18ème
13999,17397432,https://www.airbnb.com/rooms/17397432,17807374,100,f,Popincourt,48.85631,2.37942,Entire home/apt,2,1.0,1.0,1.0,191.0,5,300,t,29,5.0,Fair,Paris 11ème
14017,17038172,https://www.airbnb.com/rooms/17038172,114329682,100,f,Buttes-Montmartre,48.89535,2.33302,Entire home/apt,2,1.0,1.0,1.0,80.0,3,365,t,5,5.0,Low-cost,Paris 18ème
14163,17149539,https://www.airbnb.com/rooms/17149539,115317129,100,f,Reuilly,48.8492844688549,2.38892894296836,Entire home/apt,4,2.0,1.0,2.0,133.0,7,30,t,56,5.0,Fair,Paris 12ème
14175,17668084,https://www.airbnb.com/rooms/17668084,43096459,100,t,Luxembourg,48.85767,2.33615,Entire home/apt,4,2.5,2.0,2.0,857.0,3,42,t,171,5.0,Luxury,Paris 6ème
14199,17507526,https://www.airbnb.com/rooms/17507526,12778548,100,f,Bourse,48.86813559297823,2.3450263088114656,Entire home/apt,2,1.0,1.0,1.0,225.0,3,15,t,1,5.0,Fair,Paris 2ème
