id,listing_url,host_id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,number_of_reviews,review_scores_rating,price_range,Commune nom,experience,airbnb_monument,dep,adresse,nomcom,insee,name,category
1.1810097896337636e+18,https://www.airbnb.com/rooms/1181009789633763484,460186885.0,100.0,f,Vaugirard,48.83235059661952,2.306636900794133,Entire home/apt,3.0,1.0,1.0,2.0,110.0,1.0,365.0,t,1.0,5.0,Fair,Paris 15ème,,airbnb,,,,,airbnb,
1.181660830739459e+18,https://www.airbnb.com/rooms/1181660830739458994,36035774.0,100.0,f,Buttes-Montmartre,48.8839542,2.3369989,Entire home/apt,4.0,1.0,1.0,1.0,100.0,3.0,365.0,t,1.0,5.0,Fair,Paris 18ème,Bohemian,airbnb,,,,,airbnb,
1.1816718626450906e+18,https://www.airbnb.com/rooms/1181671862645090551,543405613.0,100.0,t,Élysée,48.8713016,2.3043844,Entire home/apt,6.0,1.0,2.0,3.0,292.0,1.0,365.0,t,10.0,5.0,Premium,Paris 8ème,Luxury,airbnb,,,,,airbnb,
1.181674398827012e+18,https://www.airbnb.com/rooms/1181674398827012209,93615592.0,100.0,f,Entrepôt,48.8799929,2.3667347,Entire home/apt,2.0,1.0,1.0,1.0,84.0,2.0,7.0,t,7.0,5.0,Low-cost,Paris 10ème,,airbnb,,,,,airbnb,
1.181687739405516e+18,https://www.airbnb.com/rooms/1181687739405516042,22958576.0,100.0,f,Passy,48.8737045,2.2846039,Entire home/apt,2.0,1.0,1.0,1.0,130.0,20.0,365.0,t,1.0,5.0,Fair,Paris 16ème,Cultural,airbnb,,,,,airbnb,
1.1816886215669978e+18,https://www.airbnb.com/rooms/1181688621566997808,33985517.0,100.0,t,Élysée,48.87155,2.30688,Entire home/apt,6.0,2.5,3.0,4.0,1000.0,2.0,365.0,t,2.0,5.0,Luxury,Paris 8ème,Luxury,airbnb,,,,,airbnb,
1.1817155051936256e+18,https://www.airbnb.com/rooms/1181715505193625626,30895848.0,100.0,f,Popincourt,48.86342312320421,2.3722994873957006,Entire home/apt,2.0,1.0,1.0,1.0,102.0,3.0,90.0,t,3.0,5.0,Fair,Paris 11ème,Nightlife,airbnb,,,,,airbnb,
1.1817221121833285e+18,https://www.airbnb.com/rooms/1181722112183328624,544353526.0,99.0,f,Buttes-Montmartre,48.8869327,2.3269357,Entire home/apt,4.0,1.0,2.0,2.0,150.0,2.0,180.0,t,4.0,5.0,Fair,Paris 18ème,Bohemian,airbnb,,,,,airbnb,
1.1817229174313925e+18,https://www.airbnb.com/rooms/1181722917431392486,230898456.0,100.0,t,Temple,48.8644005,2.3654158,Entire home/apt,2.0,1.0,1.0,1.0,146.0,30.0,365.0,t,1.0,5.0,Fair,Paris 3ème,,airbnb,,,,,airbnb,
1.1815945860454794e+18,https://www.airbnb.com/rooms/1181594586045479315,581838843.0,100.0,f,Buttes-Chaumont,48.885220437242815,2.387657992193455,Entire home/apt,2.0,1.0,0.0,1.0,69.0,2.0,365.0,t,1.0,5.0,Low-cost,Paris 19ème,Nightlife,airbnb,,,,,airbnb,
1.18162612003567e+18,https://www.airbnb.com/rooms/1181626120035669985,223471899.0,100.0,f,Entrepôt,48.872491526114,2.363774498820029,Entire home/apt,4.0,1.0,2.0,2.0,212.0,2.0,365.0,t,2.0,5.0,Fair,Paris 10ème,,airbnb,,,,,airbnb,
